# Time-averaged data for fix data1
# TimeStep v_E v_Temp v_Pres v_Dens
73000 -22047.8 304.224 8888.95 1.23752
73500 -22046.4 304.106 8555.72 1.23245
74000 -22003.5 303.752 8439.94 1.22742
74500 -22092.3 303.122 8318.68 1.22241
75000 -22259.1 301.926 7863.68 1.21743
75500 -22181.8 302.292 7642.76 1.21248
76000 -22077 303.322 7405.33 1.20756
76500 -22090.8 302.829 7049.25 1.20267
77000 -22040.4 304.272 6995.28 1.1978
77500 -22040 303.154 6871 1.19297
78000 -22164 302.141 6389.83 1.18816
78500 -22084.2 304.136 6291.61 1.18339
79000 -22101.8 303.299 6127.1 1.17864
79500 -22166.8 302.989 5997.5 1.17392
80000 -22153.8 302.491 5771.53 1.16922
80500 -22039.2 303.689 5756.42 1.16456
81000 -21979.1 304.489 5580.16 1.15992
81500 -21904.6 304.499 5096.25 1.15531
82000 -22117.7 302.82 5028.28 1.15072
82500 -22106.6 303.225 4900.84 1.14616
83000 -22052.4 302.825 4546.95 1.14163
83500 -22059.5 302.368 4491.09 1.13712
84000 -21910.7 304.722 4268.41 1.13264
84500 -21977.3 303.239 3906.48 1.12819
85000 -22123.4 302.455 3924.9 1.12376
85500 -22095.2 301.248 3821.66 1.11935
86000 -21991.8 303.332 3771.85 1.11497
86500 -21935.4 303.358 3553.68 1.11062
87000 -21974.4 303.06 3553.11 1.10629
87500 -21937 303.723 3195.04 1.10199
88000 -22024.4 303.618 3160.62 1.09771
88500 -21819.9 304.894 2931.06 1.09345
89000 -21823.9 303.589 2814.11 1.08922
89500 -21978.2 303.295 2889.66 1.08501
90000 -22047 302.943 2761.42 1.08083
90500 -21929.2 303.735 2508.41 1.07667
91000 -21916 303.612 2460.95 1.07253
91500 -21811.8 302.546 2054.75 1.06841
92000 -21671.3 304.449 2062.2 1.06432
92500 -21689.8 304.253 1947.67 1.06025
93000 -21789.9 303.044 1922.75 1.05621
93500 -21842.6 302.861 1740.25 1.05219
94000 -21615.9 304.711 1680.64 1.04818
94500 -21669.5 303.939 1656.13 1.04421
95000 -21717.1 303.764 1584.57 1.04025
95500 -21684.6 304.355 1502.86 1.03631
96000 -21684.7 303.353 1362.46 1.0324
96500 -21710.2 302.964 1228.14 1.02851
97000 -21692.2 303.275 1249.34 1.02464
97500 -21668.5 303.171 1085.43 1.02079
98000 -21532.1 304.082 1081.76 1.01696
98500 -21560.1 303.253 1125.6 1.01315
99000 -21599.4 302.955 1007.95 1.00937
99500 -21451.2 302.867 805.154 1.0056
100000 -21613.1 301.008 697.409 1.00185
